title,location,price,size,listing_type,link,source,rooms
Exclusive Beachfront Villa in Jebel Sifah فيلا فاخرة على البحر في جبل سيفة,", Al-Sifah, 919595XX","205,000 OMR",129.0,For Sale,https://om.opensooq.com/en/search/266557897,opensooq,
428 m2 More than 6 bedrooms Villa for Sale in Muscat Al Mouj,", Al Mouj, 939918XX","517,000 OMR",428.0,For Sale,https://om.opensooq.com/en/search/266669201,opensooq,
58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",58.0,For Sale,https://om.opensooq.com/en/search/266844313,opensooq,
Commercial Land for Sale in Muscat Seeb,", Seeb, 993358XX","119,000 OMR",,For Sale,https://om.opensooq.com/en/search/261935021,opensooq,
102 m2 2 Bedrooms Apartments for Sale in Muscat Bosher,", Bosher, 954205XX","46,500 OMR",102.0,For Sale,https://om.opensooq.com/en/search/261769649,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 995786XX","8,200 OMR",,For Sale,https://om.opensooq.com/en/search/266717487,opensooq,
58 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",58.0,For Sale,https://om.opensooq.com/en/search/266845569,opensooq,
67 m2 1 Bedroom Apartments for Sale in Muscat Bosher,", Bosher, 998915XX","29,000 OMR",67.0,For Sale,https://om.opensooq.com/en/search/262215471,opensooq,
Residential Land for Sale in Al Dakhiliya Bidbid,", Bidbid, 995786XX","42,500 OMR",,For Sale,https://om.opensooq.com/en/search/261168273,opensooq,
NEW VILLA FOR SALE,", Al Maabilah, 975644XX","83,000 OMR",401.0,For Sale,https://om.opensooq.com/en/search/266284445,opensooq,
56 m2 1 Bedroom Apartments for Sale in Muscat Al-Hail,", Al-Hail, 980242XX","22,000 OMR",56.0,For Sale,https://om.opensooq.com/en/search/264379505,opensooq,
Residential Land for Sale in Muscat Seeb,", Seeb, 949439XX","450,000 OMR",,For Sale,https://om.opensooq.com/en/search/266552651,opensooq,
24400 m2 1 Bedroom Apartments for Sale in Muscat Al Khoud,", Al Khoud, 913109XX","24,400 OMR",24400.0,For Sale,https://om.opensooq.com/en/search/266845737,opensooq,
67 m2 Studio Apartments for Sale in Muscat Azaiba,", Azaiba, 980242XX","25,000 OMR",67.0,For Sale,https://om.opensooq.com/en/search/263150853,opensooq,
402 m2 More than 6 bedrooms Villa for Sale in Muscat Al Maabilah,", Al Maabilah, 715050XX","88,000 OMR",402.0,For Sale,https://om.opensooq.com/en/search/265596219,opensooq,
272 m2 4 Bedrooms Villa for Sale in Dhofar Salala,", Salala, 996722XX","72,000 OMR",272.0,For Sale,https://om.opensooq.com/en/search/266934221,opensooq,
"Luxurious 1BHK Apartment – Brand New, Fully Furnished – Muscat Hills – OMR 75,000",", Muscat Hills, 920000XX","75,000 OMR",95.0,For Sale,https://om.opensooq.com/en/search/267039865,opensooq,
Residential Land for Sale in Muscat Amerat,", Amerat, 994280XX","16,000 OMR",,For Sale,https://om.opensooq.com/en/search/264124447,opensooq,
واخيراً أقوى سوق تجاري في السلطنة تملك محلك التجاري مع محمد الرواحي بدون فوائد واقساط 30 شهر,", Seeb, 771110XX","29,406 OMR",30.0,For Sale,https://om.opensooq.com/en/search/265763345,opensooq,
